epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,459.497,0.49704,0.79426,0.85313,0.93847,0.99819,0.995,0.92858,0.49051,0.73806,0.92047,0.0002278,0.0002278,0.0002278
80,465.392,0.52277,0.78166,0.86356,0.93037,1,0.995,0.912,0.48285,0.72479,0.91924,0.0002179,0.0002179,0.0002179
81,471.238,0.50938,0.77859,0.81197,0.93037,1,0.995,0.912,0.48285,0.72479,0.91924,0.000208,0.000208,0.000208
82,476.879,0.51943,0.80367,0.82654,0.93037,1,0.995,0.912,0.48285,0.72479,0.91924,0.0001981,0.0001981,0.0001981
83,482.638,0.54842,0.79798,0.83079,0.93037,1,0.995,0.912,0.48285,0.72479,0.91924,0.0001882,0.0001882,0.0001882
84,488.597,0.53861,0.7937,0.83763,0.95082,1,0.995,0.91612,0.48806,0.71868,0.91748,0.0001783,0.0001783,0.0001783
85,494.587,0.51899,0.78033,0.84714,0.95082,1,0.995,0.91612,0.48806,0.71868,0.91748,0.0001684,0.0001684,0.0001684
86,500.74,0.52787,0.79969,0.84449,0.95082,1,0.995,0.91612,0.48806,0.71868,0.91748,0.0001585,0.0001585,0.0001585
87,506.556,0.51882,0.79609,0.84803,0.95082,1,0.995,0.91612,0.48806,0.71868,0.91748,0.0001486,0.0001486,0.0001486
88,512.191,0.50189,0.81498,0.84141,0.93349,1,0.995,0.87875,0.48006,0.72168,0.91729,0.0001387,0.0001387,0.0001387
89,518.036,0.50056,0.77561,0.85314,0.93349,1,0.995,0.87875,0.48006,0.72168,0.91729,0.0001288,0.0001288,0.0001288
90,523.749,0.48399,0.77082,0.82741,0.93349,1,0.995,0.87875,0.48006,0.72168,0.91729,0.0001189,0.0001189,0.0001189
91,529.247,0.49233,0.80189,0.85142,0.93349,1,0.995,0.87875,0.48006,0.72168,0.91729,0.000109,0.000109,0.000109
92,534.939,0.53165,0.79345,0.82435,0.93104,0.99387,0.995,0.88708,0.48044,0.72848,0.91724,9.91e-05,9.91e-05,9.91e-05
93,540.636,0.50929,0.77349,0.85115,0.93104,0.99387,0.995,0.88708,0.48044,0.72848,0.91724,8.92e-05,8.92e-05,8.92e-05
94,546.266,0.50602,0.77649,0.8526,0.93104,0.99387,0.995,0.88708,0.48044,0.72848,0.91724,7.93e-05,7.93e-05,7.93e-05
95,552.139,0.49469,0.78512,0.81203,0.93104,0.99387,0.995,0.88708,0.48044,0.72848,0.91724,6.94e-05,6.94e-05,6.94e-05
96,558.107,0.46165,0.8041,0.84375,0.92922,0.99719,0.995,0.88708,0.48662,0.71734,0.91853,5.95e-05,5.95e-05,5.95e-05
97,564.628,0.49807,0.76277,0.81769,0.92922,0.99719,0.995,0.88708,0.48662,0.71734,0.91853,4.96e-05,4.96e-05,4.96e-05
98,570.917,0.51555,0.80307,0.85249,0.92922,0.99719,0.995,0.88708,0.48662,0.71734,0.91853,3.97e-05,3.97e-05,3.97e-05
99,576.824,0.51666,0.7877,0.83217,0.92922,0.99719,0.995,0.88708,0.48662,0.71734,0.91853,2.98e-05,2.98e-05,2.98e-05
100,582.53,0.46587,0.75381,0.81499,0.93272,1,0.995,0.90367,0.47784,0.71436,0.91622,1.99e-05,1.99e-05,1.99e-05
